term,estimate,std.error,statistic,p.value,model,robust.se,outcome
cluster_MOD,-1.2064343466644682,0.1527050453851612,-7.900422305114622,2.7796005765182767e-15,m0,NA,mortstat
cluster_SIDD,-0.7562926559074621,0.18337683912372477,-4.124253965339591,3.7193832711560257e-5,m0,NA,mortstat
cluster_SIRD,-0.6779417216196947,0.17632676514322423,-3.8448032609741674,1.206491960142897e-4,m0,NA,mortstat
cluster_MOD,-0.11451857978829641,0.17155774160060575,-0.6675220757737701,0.5044387134965156,m1,NA,mortstat
cluster_SIDD,0.03768121350503221,0.19194707850428847,0.19631042993024944,0.8443671983198126,m1,NA,mortstat
cluster_SIRD,-0.13568003544263335,0.18011434218137795,-0.753299452999703,0.4512699874426972,m1,NA,mortstat
dm_age,0.08173188268396542,0.005727592781257268,14.269848748923172,3.373093963365558e-46,m1,NA,mortstat
cluster_MOD,-0.041255975972227,0.17224260169291522,-0.23952248495282666,0.8107004633359617,m2,NA,mortstat
cluster_SIDD,0.0256515873280743,0.19176073003690094,0.13376871960770126,0.8935854629809339,m2,NA,mortstat
cluster_SIRD,-0.13524773978927399,0.1804387973819326,-0.7495491089036508,0.453526311040139,m2,NA,mortstat
gender,-0.46474813663985,0.10139971206273263,-4.5833279719012,4.576333962586612e-6,m2,NA,mortstat
dm_age,0.08520510591655314,0.005898637597931201,14.444878923641062,2.700313845668615e-47,m2,NA,mortstat
smoke_current,0.09514590698787831,0.13676926361728178,0.6956673193336982,0.48663719644094067,m2,NA,mortstat
cluster_MOD,-0.9720962766894254,0.1389755297819307,-5.554467385730435,2.7845949657839943e-8,s0,0.17501160942753305,mortstat
cluster_SIDD,-0.8856588461823391,0.20945690404467773,-3.846832044846606,1.1965493337485782e-4,s0,0.23023070304533017,mortstat
cluster_SIRD,-0.5530913943011173,0.17852481004884116,-2.575105415192605,0.01002095400687935,s0,0.2147839816723576,mortstat
cluster_MOD,0.23463788844497507,0.1628062946496527,1.0457993337037979,0.29565368887109755,s2,0.22436224702303323,mortstat
cluster_SIDD,-0.08447212052659278,0.21687770812994797,-0.3966375617642185,0.6916347495201335,s2,0.21297055213547147,mortstat
cluster_SIRD,-0.043281871332251934,0.18213576602232995,-0.19191610043421384,0.8478079255463062,s2,0.22552496238890785,mortstat
gender,-0.3054547191601383,0.10703160985710787,-2.259242934185725,0.023868277481752846,s2,0.13520224608790468,mortstat
dm_age,0.09132597894972018,0.006342425134788802,12.47076008060846,1.0779292913041559e-35,s2,0.007323208718587127,mortstat
smoke_current,0.11962055481550449,0.1399422514049775,0.6785782282902009,0.4974051416042201,s2,0.17628115643631811,mortstat
cluster_MOD,-1.1441463216808783,0.3132253258195955,-3.6527899482172077,2.594064244887207e-4,m0,NA,mortality_heart
cluster_SIDD,-0.12268146097663137,0.29363168400719214,-0.4178072996156179,0.6760880134306845,m0,NA,mortality_heart
cluster_SIRD,-0.8226948287948184,0.39700695714088424,-2.0722428511570694,0.03824279903235718,m0,NA,mortality_heart
cluster_MOD,0.26074760969186533,0.35576604836082704,0.7329187562816799,0.46360798262392366,m1,NA,mortality_heart
cluster_SIDD,0.8999934502459436,0.31821755155777376,2.828233219192958,0.004680569448519334,m1,NA,mortality_heart
cluster_SIRD,-0.13680837179518654,0.40439119078428776,-0.3383070030033456,0.7351318469007174,m1,NA,mortality_heart
