"","years","file"
"1","1999-2000","BMX.XPT"
"2","1999-2000","BPQ.XPT"
"3","1999-2000","BPX.XPT"
"4","1999-2000","CDQ.XPT"
"5","1999-2000","DEMO.XPT"
"6","1999-2000","DIQ.XPT"
"7","1999-2000","HUQ.XPT"
"8","1999-2000","KIQ.XPT"
"9","1999-2000","LAB10.XPT"
"10","1999-2000","LAB10AM.XPT"
"11","1999-2000","LAB13.XPT"
"12","1999-2000","LAB13AM.XPT"
"13","1999-2000","LAB16.XPT"
"14","1999-2000","LAB18.XPT"
"15","1999-2000","MCQ.XPT"
"16","1999-2000","NHANES_1999_2000_MORT_2019_PUBLIC.dat"
"17","1999-2000","PH.XPT"
"18","1999-2000","SMQ.XPT"
"19","1999-2000","SMQMEC.XPT"
"20","2001-2002","BMX_B.XPT"
"21","2001-2002","BPQ_B.XPT"
"22","2001-2002","BPX_B.XPT"
"23","2001-2002","CDQ_B.XPT"
"24","2001-2002","DEMO_B.XPT"
"25","2001-2002","DIQ_B.XPT"
"26","2001-2002","HUQ_B.XPT"
"27","2001-2002","KIQ_U_B.XPT"
"28","2001-2002","L10_B.XPT"
"29","2001-2002","L10AM_B.XPT"
"30","2001-2002","L13_B.XPT"
"31","2001-2002","L13AM_B.XPT"
"32","2001-2002","L16_B.XPT"
"33","2001-2002","L40_B.XPT"
"34","2001-2002","MCQ_B.XPT"
"35","2001-2002","NHANES_2001_2002_MORT_2019_PUBLIC.dat"
"36","2001-2002","PH_B.XPT"
"37","2001-2002","SMQ_B.XPT"
"38","2001-2002","SMQMEC_B.XPT"
"39","2003-2004","BMX_C.XPT"
"40","2003-2004","BPQ_C.XPT"
"41","2003-2004","BPX_C.XPT"
"42","2003-2004","CDQ_C.XPT"
"43","2003-2004","DEMO_C.XPT"
"44","2003-2004","DIQ_C.XPT"
"45","2003-2004","HUQ_C.XPT"
"46","2003-2004","KIQ_U_C.XPT"
"47","2003-2004","L10_C.XPT"
"48","2003-2004","L10AM_C.XPT"
"49","2003-2004","L13_C.XPT"
"50","2003-2004","L13AM_C.XPT"
"51","2003-2004","L16_C.XPT"
"52","2003-2004","L40_C.XPT"
"53","2003-2004","MCQ_C.XPT"
"54","2003-2004","NHANES_2003_2004_MORT_2019_PUBLIC.dat"
"55","2003-2004","PH_C.XPT"
"56","2003-2004","SMQ_C.XPT"
"57","2003-2004","SMQMEC_C.XPT"
"58","2005-2006","ALB_CR_D.XPT"
"59","2005-2006","BHQ_D.XPT"
"60","2005-2006","BIOPRO_D.XPT"
"61","2005-2006","BMX_D.XPT"
"62","2005-2006","BPQ_D.XPT"
"63","2005-2006","BPX_D.XPT"
"64","2005-2006","CDQ_D.XPT"
"65","2005-2006","DEMO_D.XPT"
"66","2005-2006","DIQ_D.XPT"
"67","2005-2006","FASTQX_D.XPT"
"68","2005-2006","GHB_D.XPT"
"69","2005-2006","GLU_D.XPT"
"70","2005-2006","HDL_D.XPT"
"71","2005-2006","HUQ_D.XPT"
"72","2005-2006","KIQ_U_D.XPT"
"73","2005-2006","MCQ_D.XPT"
"74","2005-2006","NHANES_2005_2006_MORT_2019_PUBLIC.dat"
"75","2005-2006","OGTT_D.XPT"
"76","2005-2006","SMQ_D.XPT"
"77","2005-2006","SMQRTU_D.XPT"
"78","2005-2006","TCHOL_D.XPT"
"79","2005-2006","TRIGLY_D.XPT"
"80","2007-2008","ALB_CR_E.XPT"
"81","2007-2008","BIOPRO_E.XPT"
"82","2007-2008","BMX_E.XPT"
"83","2007-2008","BPQ_E.XPT"
"84","2007-2008","BPX_E.XPT"
"85","2007-2008","CDQ_E.XPT"
"86","2007-2008","DEMO_E.XPT"
"87","2007-2008","DIQ_E.XPT"
"88","2007-2008","FASTQX_E.XPT"
"89","2007-2008","GHB_E.XPT"
"90","2007-2008","GLU_E.XPT"
"91","2007-2008","HDL_E.XPT"
"92","2007-2008","HUQ_E.XPT"
"93","2007-2008","KIQ_U_E.XPT"
"94","2007-2008","MCQ_E.XPT"
"95","2007-2008","NHANES_2007_2008_MORT_2019_PUBLIC.dat"
"96","2007-2008","OGTT_E.XPT"
"97","2007-2008","SMQ_E.XPT"
"98","2007-2008","SMQRTU_E.XPT"
"99","2007-2008","TCHOL_E.XPT"
"100","2007-2008","TRIGLY_E.XPT"
"101","2009-2010","ALB_CR_F.XPT"
"102","2009-2010","AQQ_F.XPT"
"103","2009-2010","BIOPRO_F.XPT"
"104","2009-2010","BMX_F.XPT"
"105","2009-2010","BPQ_F.XPT"
"106","2009-2010","BPX_F.XPT"
"107","2009-2010","CDQ_F.XPT"
"108","2009-2010","DEMO_F.XPT"
"109","2009-2010","DIQ_F.XPT"
"110","2009-2010","FASTQX_F.XPT"
"111","2009-2010","GHB_F.XPT"
"112","2009-2010","GLU_F.XPT"
"113","2009-2010","HDL_F.XPT"
"114","2009-2010","HUQ_F.XPT"
"115","2009-2010","KIQ_U_F.XPT"
"116","2009-2010","MCQ_F.XPT"
"117","2009-2010","NHANES_2009_2010_MORT_2019_PUBLIC.dat"
"118","2009-2010","OGTT_F.XPT"
"119","2009-2010","SMQ_F.XPT"
"120","2009-2010","SMQFAM_F.XPT"
"121","2009-2010","SMQRTU_F.XPT"
"122","2009-2010","TCHOL_F.XPT"
"123","2009-2010","TRIGLY_F.XPT"
"124","2011-2012","ALB_CR_G.XPT"
"125","2011-2012","BIOPRO_G.XPT"
"126","2011-2012","BMX_G.XPT"
"127","2011-2012","BPQ_G.XPT"
"128","2011-2012","BPX_G.XPT"
