outcome,MARD,MOD,SIDD,SIRD
All Cause,Ref,"1.1 (1.09, 1.1)","0.99 (0.98, 0.99)","0.93 (0.93, 0.94)"
Heart Disease,Ref,"1.32 (1.3, 1.33)","1.21 (1.2, 1.23)","0.71 (0.7, 0.72)"
Cancer,Ref,"0.78 (0.77, 0.79)","1.07 (1.05, 1.08)","1.45 (1.43, 1.46)"
Other,Ref,"1.15 (1.15, 1.16)","0.86 (0.86, 0.87)","0.84 (0.83, 0.85)"
All Cause,Ref,"1.2 (1.19, 1.21)","0.91 (0.91, 0.92)","0.97 (0.96, 0.97)"
Heart Disease,Ref,"1.76 (1.74, 1.78)","1.52 (1.5, 1.54)","0.92 (0.91, 0.93)"
Cancer,Ref,"0.85 (0.84, 0.86)","1.28 (1.27, 1.3)","1.19 (1.18, 1.21)"
Other,Ref,"2.65 (2.6, 2.7)","0.87 (0.85, 0.9)","0.66 (0.64, 0.68)"
All Cause,Ref,"0.93 (0.92, 0.94)","1.12 (1.11, 1.13)","1.04 (1.04, 1.05)"
Heart Disease,Ref,"1.58 (1.55, 1.62)","2.9 (2.85, 2.96)","1.26 (1.23, 1.28)"
Cancer,Ref,"0.59 (0.58, 0.6)","1.5 (1.48, 1.53)","1.75 (1.73, 1.77)"
Other,Ref,"0.86 (0.83, 0.89)","2.11 (2.03, 2.18)","1.26 (1.21, 1.3)"
