term,estimate,std.error,robust.se,statistic,p.value,model,outcome
cluster_MOD,-0.950053744064761,0.0645376476115685,0.07943617666156694,-11.95996313005355,5.758748448188033e-33,s0,mortstat
cluster_SIDD,-0.699895861971729,0.08025217607340365,0.09030992239163689,-7.7499331572511965,9.1940932596054935e-15,s0,mortstat
cluster_SIRD,-0.5134823033802903,0.059367911450753236,0.0760485997498015,-6.752028374876563,1.4579235321277875e-11,s0,mortstat
cluster_MOD,-0.052582707382089755,0.08552628516923785,0.10361347231887177,-0.5074890958220742,0.611811685425365,s1,mortstat
cluster_SIDD,-0.03056556072627472,0.08951115063006188,0.0956141633007066,-0.31967607801101616,0.7492138959197233,s1,mortstat
cluster_SIRD,0.020352548295403478,0.06684313012783814,0.08864955263278212,0.22958433168536052,0.8184147831915795,s1,mortstat
dm_age,0.036914115273259156,0.002374074631879409,0.003226054430315027,11.442496111156581,2.5640079731204776e-30,s1,mortstat
year_fe,-0.06684010885806957,0.05659310769605516,0.06226653709785017,-1.0734515194418497,0.28306857959067344,s1,mortstat
cluster_MOD,-0.06493467956013983,0.08557168839910226,0.10351783437710801,-0.6272801199026968,0.5304756324821404,s2,mortstat
cluster_SIDD,-0.03351676685337982,0.08960821112606257,0.09544801642385221,-0.35115205228093216,0.7254742791312608,s2,mortstat
cluster_SIRD,0.02881735001892722,0.06686605481354593,0.08887056955922398,0.32426201566901325,0.7457396744420687,s2,mortstat
gender,-0.10614987738750228,0.04736739900435547,0.06673354728221043,-1.5906524036344658,0.11168782402787095,s2,mortstat
dm_age,0.037913594093755346,0.0024065687937826997,0.003296779675700576,11.500190435291552,1.3162469921486107e-30,s2,mortstat
smoke_current,0.2083148821572738,0.0627899784653122,0.07952735128568501,2.6194117971934854,0.008808154757270308,s2,mortstat
year_fe,-0.06598494782177129,0.05659731486625118,0.061830597034150135,-1.0671892394201956,0.2858863906612753,s2,mortstat
cluster_MOD,-0.7297272174338355,0.06042773243252743,NA,-12.076031783066433,1.4137966537264343e-33,m0,mortstat
cluster_SIDD,-0.5928797319093586,0.07147245370873216,NA,-8.295220062340233,1.0838437296668408e-16,m0,mortstat
cluster_SIRD,-0.5333753449172206,0.05941879254784389,NA,-8.976542976495994,2.7940767548042455e-19,m0,mortstat
cluster_MOD,0.13292912722973185,0.0811371727660329,NA,1.6383258461943973,0.10135373881486794,m1,mortstat
cluster_SIDD,0.021218166820025693,0.08013381282805955,NA,0.26478419123214325,0.7911757159273698,m1,mortstat
cluster_SIRD,-0.030850676754418056,0.06590915196807799,NA,-0.46807879988138934,0.6397282392865524,m1,mortstat
dm_age,0.03448553891814486,0.0022321473860277383,NA,15.449490089233883,7.604263453389299e-54,m1,mortstat
year_fe,-0.09341335770148028,0.05268582166617811,NA,-1.773026494553987,0.07622431673660217,m1,mortstat
cluster_MOD,0.12116791337730957,0.08116559270226899,NA,1.492848254330832,0.13547691279905283,m2,mortstat
cluster_SIDD,0.01637014233507546,0.08021638945429341,NA,0.20407478379967506,0.8382950592777223,m2,mortstat
cluster_SIRD,-0.01659309823201781,0.06593170515873684,NA,-0.2516710009557367,0.8012953735302495,m2,mortstat
gender,-0.23888703128704067,0.044839718033624805,NA,-5.327576571911133,9.953182317075437e-8,m2,mortstat
dm_age,0.03495519728283597,0.00226047952847797,NA,15.463620370130963,6.106763380914553e-54,m2,mortstat
smoke_current,0.12554947354210988,0.06035613106761205,NA,2.080144491062011,0.037512281830033675,m2,mortstat
year_fe,-0.09385814062182304,0.052681298881466596,NA,-1.7816216117412882,0.0748109576940925,m2,mortstat
cluster_MOD,-0.028315595142870395,0.08651632324215092,0.10456914721333443,-0.27078345666435394,0.7865575843590867,s3,mortstat
cluster_SIDD,-0.07160603492466984,0.09146117804343969,0.10006993148082076,-0.715559947579196,0.47426311236338003,s3,mortstat
cluster_SIRD,0.037797932559808345,0.06722918049869055,0.08952211988245345,0.4222189176198991,0.6728652345611656,s3,mortstat
gender,-0.18593841529342625,0.04783666991627844,0.0693046375631906,-2.6829144748631184,0.007298365205513129,s3,mortstat
dm_age,0.05016496635544135,0.0025726806256958974,0.003284738897539633,15.272132099454357,1.1727505206377318e-52,s3,mortstat
smoke_current,0.3321131645000215,0.063193399791379,0.07986683337837011,4.158336451460786,3.205736261891193e-5,s3,mortstat
rx_insulin,0.6795109710464124,0.06180081517454382,0.07251304090622425,9.370879534967699,7.193059204929727e-21,s3,mortstat
rx_otherdm,-0.27134588775324686,0.0560693564799309,0.06692649073757936,-4.0543869066316605,5.0265961347579085e-5,s3,mortstat
rx_chol,-0.14347947389311097,0.05072359128017848,0.0633127916421179,-2.2662004023474993,0.02343911602672931,s3,mortstat
rx_htn,0.31748428410208746,0.05239889479580964,0.06463633442486763,4.911854716500465,9.021889329301726e-7,s3,mortstat
year_fe,-0.09819636061252383,0.05718622380022428,0.06440128598574567,-1.5247577608040037,0.12731952891692447,s3,mortstat
duration,0.7203516798552161,0.06625929582705309,0.07883371116671258,9.137609649403181,6.384792846161056e-20,s3,mortstat
cluster_MOD,-0.9086872021737704,0.11978922995284849,0.1397132317356238,-6.503945194634526,7.824041137190585e-11,s0,mortality_heart
cluster_SIDD,-0.7118262229858388,0.1517102455748973,0.2065276684873843,-3.446638545814604,5.676074424590654e-4,s0,mortality_heart
cluster_SIRD,-0.5001246682557456,0.11135887065690842,0.1323798464990646,-3.7779517160814926,1.581235253338093e-4,s0,mortality_heart
cluster_MOD,-0.0023314061658779605,0.1594625486594081,0.19724027021956153,-0.011820132690361427,0.9905691182270158,s1,mortality_heart
cluster_SIDD,-0.033950604530089606,0.1690097497413817,0.2177867240053881,-0.1558892291765666,0.8761203353856246,s1,mortality_heart
cluster_SIRD,0.03828909746955461,0.12532418258214026,0.14213655023017177,0.2693824875273135,0.7876353611618382,s1,mortality_heart
dm_age,0.037302943775523546,0.0044568275104446605,0.005750313072334984,6.487115276382028,8.749539525500231e-11,s1,mortality_heart
year_fe,-0.05490704451966378,0.1073925626051875,0.10825734992453698,-0.507189992715856,0.6120215159729653,s1,mortality_heart
cluster_MOD,-0.015626812499181745,0.15962302269999903,0.1961565985176781,-0.07966498510511956,0.9365037087467697,s2,mortality_heart
cluster_SIDD,-0.0367602040090591,0.1693362812347087,0.2187644717404396,-0.16803553025134021,0.8665553273753094,s2,mortality_heart
cluster_SIRD,0.04545182589046531,0.1253626220328363,0.14167647547530382,0.32081420530812255,0.7483511936885519,s2,mortality_heart
gender,-0.17669622378409666,0.08901453504806657,0.11803804792154235,-1.4969429509842733,0.13440810297463424,s2,mortality_heart
dm_age,0.03818963805821911,0.004522510962168872,0.00580805424167344,6.575289497850102,4.8558596322159114e-11,s2,mortality_heart
smoke_current,0.15796118806959156,0.11911021963698118,0.11774660907188542,1.3415349224465118,0.17974683915673065,s2,mortality_heart
year_fe,-0.055981387573138267,0.10741253232438276,0.10820542212216554,-0.5173621291355848,0.6049033909954111,s2,mortality_heart
cluster_MOD,-0.7188070487734622,0.11348935460320571,NA,-6.333695801572197,2.3935721099431563e-10,m0,mortality_heart
cluster_SIDD,-0.5799746368587694,0.1340153598647319,NA,-4.327672868573912,1.5069306251767548e-5,m0,mortality_heart
cluster_SIRD,-0.5671386724126152,0.11342859486630469,NA,-4.99996207377061,5.734159257822235e-7,m0,mortality_heart
cluster_MOD,0.1932101850510175,0.15301976939807607,NA,1.2626485179727813,0.20671552325232995,m1,mortality_heart
cluster_SIDD,0.06946893641623209,0.15040664394217362,NA,0.4618741206867204,0.6441715935323337,m1,mortality_heart
cluster_SIRD,-0.04006235180884297,0.12536224822999037,NA,-0.31957269731908705,0.7492922742104623,m1,mortality_heart
dm_age,0.03659588883994739,0.004241047355179595,NA,8.62897434881334,6.190457219394827e-18,m1,mortality_heart
year_fe,-0.029763207519847606,0.0995621734009639,NA,-0.2989409180531153,0.7649851257204796,m1,mortality_heart
cluster_MOD,0.18237171462870028,0.15308578645829135,NA,1.1913040318631276,0.23353425167882536,m2,mortality_heart
cluster_SIDD,0.0646546252415046,0.15061265813175964,NA,0.4292774992719613,0.6677212894760669,m2,mortality_heart
cluster_SIRD,-0.02266839283495267,0.12538027011705338,NA,-0.18079712871721965,0.8565268169227148,m2,mortality_heart
gender,-0.32330614464121993,0.08519408633036343,NA,-3.794936462931379,1.4768127082730493e-4,m2,mortality_heart
dm_age,0.03684928534837003,0.004295243273779757,NA,8.579091567016912,9.56253324046219e-18,m2,mortality_heart
smoke_current,0.05933657047857806,0.11620464961733118,NA,0.5106213105411609,0.6096162507056969,m2,mortality_heart
year_fe,-0.03082614440186264,0.09956593777556963,NA,-0.3096053237739545,0.7568611073149468,m2,mortality_heart
cluster_MOD,0.0320328161815533,0.16139454918345014,0.20081231506942732,0.15951619386728608,0.8732622008110044,s3,mortality_heart
cluster_SIDD,-0.059111645111946144,0.17313436436691404,0.22168473698482014,-0.2666473385400178,0.7897407038896697,s3,mortality_heart
cluster_SIRD,0.06215004395501258,0.12602878021320765,0.13002150054149772,0.47799820565197015,0.6326514821602743,s3,mortality_heart
gender,-0.27190260259384036,0.08991520513773228,0.12067828652762588,-2.253119516505531,0.0242516142300232,s3,mortality_heart
dm_age,0.05267634305751149,0.004888325484488652,0.006098995747799351,8.636887978896894,5.776497556826441e-18,s3,mortality_heart
smoke_current,0.3135871945574749,0.11989148663195134,0.12464011601385531,2.515941131847276,0.01187150097246074,s3,mortality_heart
rx_insulin,0.7049289982236118,0.1134635372687027,0.13876664656619633,5.07995988709965,3.775145722609545e-7,s3,mortality_heart
rx_otherdm,-0.2526655400317581,0.10499140487007314,0.13525805942375205,-1.8680257657710315,0.06175847960987665,s3,mortality_heart
rx_chol,-0.07556262506798299,0.0942048321573913,0.12902252219080382,-0.5856545336808551,0.5581076934660023,s3,mortality_heart
rx_htn,0.38757694173392415,0.0993111364313509,0.11846488167910339,3.271661071538391,0.0010691766571039422,s3,mortality_heart
year_fe,-0.11753279155290965,0.10857698971004628,0.1059145179963596,-1.1096948159358981,0.26713055755545956,s3,mortality_heart
